naam;specs;cat;pref;backup;volgw;opm;eenheid;stap
lookbroodjes met bacon;4 of 6;snack;pizza hut;pizza hut;10;;stuks;2
pizza hawai;medium;maaltijd;pizza hut;pizza hut;20;;pizza;1
pizza forestiere;medium;maaltijd;pizza hut;pizza hut;30;;pizza;1
pizza hot & spicy;medium;maaltijd;pizza hut;pizza hut;40;;pizza;1
oude batterijen en bruisgasflessen leeg;;leeggoed;OKAY;;50;;;1
chips paprika;;snack;OKAY;SPAR;60;;zak;1
chips zout;;snack;OKAY;SPAR;70;;zak;1
nootjes;gezouten;snack;OKAY;SPAR;80;;zak;1
martini wit;;drank;OKAY;SPAR;90;;fles;1
cashew noten;;snack;OKAY;SPAR;100;;zak;1
TUC bacon;;snack;OKAY;SPAR;110;;verp;1
Citroenconcentraat voor frisdrank;;drank;OKAY;SPAR;120;;fles;1
Tropical;;drank;OKAY;SPAR;130;;box;1
Fruitmoes (vloeibare confituur aardbei);Fruitmoes (vloeibare confituur aardbei);drank;OKAY;SPAR;140;;box;1
melk volle;;melkproduct;OKAY;SPAR;150;;fles;6
havermout;;ontbijt;OKAY;SPAR;160;;doos;1
confituur rabarber aardbei;;ontbijt;OKAY;SPAR;170;;pot;1
muesli (gedroogd fruit & granen);;ontbijt;OKAY;SPAR;180;;doos;1
choco pops Louis;;ontbijt;OKAY;SPAR;190;;doos;1
corn flakes [DUBBEL];;ontbijt;OKAY;SPAR;200;;doos;1
speculoos everyday;;snack;OKAY;SPAR;210;;doos;1
speculoospasta;;ontbijt;OKAY;SPAR;220;;pot;1
energierepen;;snack;OKAY;SPAR;230;;verp;1
chocolade of zo;;snack;OKAY;SPAR;240;;reep;1
erwtjes (blik);;groenten;OKAY;SPAR;242;;blik;1
frisk fresh effect of iets gelijkaardigs;;snack;OKAY;SPAR;250;;verp;1
hagelslag fondant;;ontbijt;OKAY;SPAR;260;;reep;1
crumble sablé au beurre;;snack;OKAY;SPAR;270;;doos;1
crumble speculoos;;snack;OKAY;SPAR;280;;doos;1
koffie;;drank;OKAY;SPAR;290;;pak;1
nesquick;;drank;OKAY;SPAR;300;;doos;1
ontkalker koffiezet;;onderhoud;OKAY;SPAR;310;;verp;1
pims boni;;snack;OKAY;SPAR;320;;verp;1
augurken;;sausen ed;OKAY;SPAR;330;;bokaal;1
bechamel;;sausen ed;OKAY;SPAR;340;;verp;1
bruine kinderkessuiker;;ontbijt;OKAY;SPAR;350;;verp;1
bruine rijst;;basis_ingrediënt;OKAY;SPAR;360;;verp;1
canderelsuiker;;ontbijt;OKAY;SPAR;370;;verp;1
choco;;ontbijt;OKAY;SPAR;380;;pot;1
couscous;;basis_ingrediënt;OKAY;SPAR;390;;doos;1
frituurolie;;keuken;OKAY;SPAR;400;;fles;1
griekse pasta;;basis_ingrediënt;OKAY;SPAR;410;;doos;1
harissa;;sausen ed;OKAY;SPAR;420;;tube;1
hollandaise;;sausen ed;OKAY;SPAR;430;;verp;1
honing;;ontbijt;OKAY;SPAR;440;;pot;1
klontjes suiker;;ontbijt;OKAY;SPAR;450;;doos;1
kristal suiker (voor brood);;ontbijt;OKAY;SPAR;460;;verp;1
tagliatelli;;basis_ingrediënt;OKAY;SPAR;470;;verp;1
zout;;kruiden;OKAY;SPAR;480;;verp;1
tomatenconcentraat;;keuken;OKAY;SPAR;490;;blik;1
CO2 flessen;;logistiek;OKAY;SPAR;500;;fles;1
amerikaanse saus;;sausen ed;OKAY;SPAR;510;;fles;1
arachideolie;;keuken;OKAY;SPAR;520;;fles;1
ketchup;;sausen ed;OKAY;SPAR;530;;fles;1
Mayo devos lemmens ei;;sausen ed;OKAY;SPAR;540;;pot;1
mosterd;;sausen ed;OKAY;SPAR;550;;pot;1
pickels;;sausen ed;OKAY;SPAR;560;;pot;1
Samourai;;sausen ed;OKAY;SPAR;570;;fles;1
sodastream volle fles;;drank;OKAY;SPAR;580;;fles;1
zwarte schoensmeer;;logistiek;OKAY;SPAR;590;;doos;1
balsamico;;sausen ed;OKAY;SPAR;600;;fles;1
engelse saus;;sausen ed;OKAY;SPAR;610;;fles;1
tabasco;;sausen ed;OKAY;SPAR;620;;fles;1
rozemarijn poedervorm;;kruiden;OKAY;SPAR;630;;verp;1
